time,temperature,pressure,lattice,pos1,pos2
0.201000,1707.047027,48915.559576,4.090219,0.468618,-0.025902,0.223782
0.202000,1712.959585,48645.751253,4.090510,0.467914,-0.025844,0.222575
0.203000,1718.855756,48412.821841,4.090800,0.467165,-0.025986,0.221168
0.204000,1724.460299,48222.804337,4.091088,0.466377,-0.026325,0.219567
0.205000,1729.518064,48082.111184,4.091376,0.465556,-0.026857,0.217777
0.206000,1733.804401,47999.915179,4.091663,0.464707,-0.027576,0.215805
0.207000,1737.135581,47977.922493,4.091950,0.463834,-0.028476,0.213660
0.208000,1739.379752,48017.770104,4.092237,0.462939,-0.029551,0.211351
0.209000,1740.460898,48120.509395,4.092525,0.462026,-0.030793,0.208887
0.210000,1740.360037,48283.167724,4.092814,0.461097,-0.032193,0.206279
0.211000,1739.115728,48503.239241,4.093104,0.460151,-0.033741,0.203538
0.212000,1736.822555,48772.166789,4.093396,0.459191,-0.035427,0.200677
0.213000,1733.627681,49080.285671,4.093689,0.458218,-0.037239,0.197707
0.214000,1729.724044,49414.350772,4.093985,0.457230,-0.039165,0.194642
0.215000,1725.343718,49764.218267,4.094283,0.456230,-0.041193,0.191494
0.216000,1720.754128,50117.924580,4.094583,0.455215,-0.043308,0.188279
0.217000,1716.250887,50465.810053,4.094885,0.454187,-0.045496,0.185009
0.218000,1712.149381,50790.771828,4.095189,0.453144,-0.047742,0.181700
0.219000,1708.774387,51077.047177,4.095495,0.452087,-0.050031,0.178366
0.220000,1706.445098,51307.398253,4.095802,0.451013,-0.052346,0.175021
0.221000,1705.462426,51471.161823,4.096110,0.449922,-0.054671,0.171681
0.222000,1706.093953,51556.293497,4.096419,0.448813,-0.056991,0.168361
0.223000,1708.558923,51553.174917,4.096728,0.447682,-0.059288,0.165075
0.224000,1713.017020,51456.525298,4.097036,0.446528,-0.061548,0.161837
0.225000,1719.558208,51256.852611,4.097343,0.445348,-0.063753,0.158662
0.226000,1728.200122,50946.789116,4.097648,0.444138,-0.065890,0.155564
0.227000,1738.887736,50535.338390,4.097951,0.442894,-0.067944,0.152557
0.228000,1751.492394,50027.629465,4.098250,0.441612,-0.069901,0.149652
0.229000,1765.817257,49427.463062,4.098546,0.440285,-0.071749,0.146861
0.230000,1781.604321,48741.060445,4.098839,0.438907,-0.073478,0.144196
0.231000,1798.544400,47980.649795,4.099126,0.437471,-0.075078,0.141666
0.232000,1816.291372,47157.232813,4.099409,0.435967,-0.076542,0.139280
0.233000,1834.474695,46282.429491,4.099686,0.434387,-0.077865,0.137045
0.234000,1852.714359,45378.725130,4.099958,0.432719,-0.079045,0.134969
0.235000,1870.636546,44461.429967,4.100224,0.430951,-0.080079,0.133055
0.236000,1887.889408,43547.057242,4.100485,0.429069,-0.080971,0.131308
0.237000,1904.157264,42651.351892,4.100741,0.427061,-0.081726,0.129729
0.238000,1919.172364,41789.257722,4.100992,0.424909,-0.082350,0.128321
0.239000,1932.722502,40970.850512,4.101237,0.422596,-0.082855,0.127083
0.240000,1944.652084,40210.212999,4.101478,0.420104,-0.083254,0.126015
0.241000,1954.859122,39517.334524,4.101715,0.417415,-0.083562,0.125114
0.242000,1963.291965,38896.810332,4.101948,0.414506,-0.083797,0.124377
0.243000,1969.942859,38360.434633,4.102178,0.411358,-0.083979,0.123801
0.244000,1974.836915,37911.024902,4.102406,0.407947,-0.084132,0.123382
0.245000,1978.025614,37553.550327,4.102631,0.404251,-0.084277,0.123115
0.246000,1979.578356,37284.845749,4.102855,0.400246,-0.084441,0.122996
0.247000,1979.574261,37102.543724,4.103077,0.395910,-0.084649,0.123019
0.248000,1978.099578,37010.022270,4.103299,0.391218,-0.084926,0.123179
0.249000,1975.244458,37005.779287,4.103521,0.386148,-0.085298,0.123472
0.250000,1971.103131,37084.712387,4.103744,0.380676,-0.085791,0.123893
0.251000,1965.775512,37248.973769,4.103967,0.374779,-0.086426,0.124438
0.252000,1959.363758,37496.418899,4.104192,0.368437,-0.087227,0.125102
0.253000,1951.970454,37820.891912,4.104419,0.361629,-0.088211,0.125883
0.254000,1943.700740,38211.524059,4.104648,0.354336,-0.089397,0.126778
0.255000,1934.663131,38664.075430,4.104880,0.346540,-0.090796,0.127784
0.256000,1924.967817,39168.734316,4.105115,0.338227,-0.092419,0.128900
0.257000,1914.723963,39723.598997,4.105354,0.329383,-0.094271,0.130126
0.258000,1904.039265,40321.635488,4.105596,0.319996,-0.096354,0.131459
0.259000,1893.020401,40949.562342,4.105841,0.310059,-0.098666,0.132901
0.260000,1881.774829,41601.820131,4.106091,0.299565,-0.101200,0.134451
0.261000,1870.412677,42268.193332,4.106345,0.288512,-0.103945,0.136110
0.262000,1859.048288,42935.343884,4.106603,0.276900,-0.106888,0.137879
0.263000,1847.804492,43590.797016,4.106864,0.264732,-0.110010,0.139758
0.264000,1836.813403,44224.811270,4.107130,0.252015,-0.113288,0.141748
0.265000,1826.214752,44827.007408,4.107399,0.238759,-0.116699,0.143850
0.266000,1816.150098,45389.300010,4.107671,0.224976,-0.120216,0.146064
0.267000,1806.750376,45914.384465,4.107947,0.210683,-0.123808,0.148389
0.268000,1798.127571,46398.941990,4.108226,0.195899,-0.127444,0.150824
