time,temperature,pressure,lattice,pos1,pos2
0.160000,1742.665186,41540.234990,4.077740,-0.137943,-0.376141,0.003959
0.161000,1751.137615,41534.307263,4.078000,-0.153177,-0.370148,0.000762
0.162000,1758.645110,41561.755816,4.078261,-0.168139,-0.363467,-0.002751
0.163000,1765.173162,41627.233442,4.078522,-0.182800,-0.356103,-0.006572
0.164000,1770.761981,41737.261595,4.078784,-0.197130,-0.348062,-0.010688
0.165000,1775.495787,41888.746226,4.079047,-0.211104,-0.339355,-0.015088
0.166000,1779.487684,42081.161434,4.079311,-0.224695,-0.329993,-0.019759
0.167000,1782.864528,42314.935851,4.079577,-0.237882,-0.319990,-0.024686
0.168000,1785.752512,42585.888790,4.079844,-0.250642,-0.309362,-0.029854
0.169000,1788.263083,42887.871775,4.080113,-0.262957,-0.298127,-0.035251
0.170000,1790.478169,43216.964900,4.080385,-0.274807,-0.286306,-0.040862
0.171000,1792.435924,43572.920257,4.080658,-0.286178,-0.273919,-0.046673
0.172000,1794.124559,43948.661758,4.080934,-0.297055,-0.260991,-0.052672
0.173000,1795.483052,44339.363095,4.081213,-0.307427,-0.247545,-0.058847
0.174000,1796.405515,44738.446026,4.081494,-0.317283,-0.233609,-0.065186
0.175000,1796.751625,45146.457658,4.081777,-0.326617,-0.219208,-0.071679
0.176000,1796.364767,45562.733082,4.082063,-0.335421,-0.204372,-0.078317
0.177000,1795.095251,45988.871622,4.082352,-0.343692,-0.189128,-0.085091
0.178000,1792.822825,46420.033254,4.082644,-0.351427,-0.173507,-0.091994
0.179000,1789.476790,46850.046302,4.082938,-0.358626,-0.157537,-0.099018
0.180000,1785.050352,47278.665307,4.083235,-0.365289,-0.141247,-0.106158
0.181000,1779.606834,47699.114891,4.083535,-0.371419,-0.124666,-0.113407
0.182000,1773.276018,48109.911097,4.083837,-0.377021,-0.107823,-0.120760
0.183000,1766.243410,48510.113082,4.084142,-0.382099,-0.090747,-0.128211
0.184000,1758.737790,48894.955052,4.084449,-0.386660,-0.073464,-0.135756
0.185000,1751.010078,49255.493211,4.084759,-0.390712,-0.056004,-0.143388
0.186000,1743.311382,49595.579956,4.085071,-0.394265,-0.038392,-0.151102
0.187000,1735.876589,49918.254750,4.085384,-0.397326,-0.020655,-0.158889
0.188000,1728.911181,50220.965892,4.085700,-0.399907,-0.002821,-0.166742
0.189000,1722.582981,50496.603580,4.086018,-0.402019,0.015085,-0.174653
0.190000,1717.014979,50744.916555,4.086337,-0.403673,0.033036,-0.182613
0.191000,1712.283237,50963.518770,4.086657,-0.404881,0.051007,-0.190609
0.192000,1708.416180,51158.117893,4.086979,-0.405656,0.068972,-0.198631
0.193000,1705.397769,51330.188329,4.087302,-0.406012,0.086904,-0.206667
0.194000,1703.174917,51479.933795,4.087625,-0.405960,0.104777,-0.214701
0.195000,1701.668668,51612.153938,4.087950,-0.405516,0.122564,-0.222719
0.196000,1700.788760,51731.958758,4.088275,-0.404691,0.140239,-0.230705
0.197000,1700.443418,51840.089972,4.088601,-0.403501,0.157774,-0.238641
0.198000,1700.549962,51939.740917,4.088928,-0.401957,0.175145,-0.246509
0.199000,1701.045092,52035.326753,4.089256,-0.400076,0.192325,-0.254290
0.200000,1701.890726,52125.757631,4.089584,-0.397869,0.209289,-0.261965
0.201000,1703.075620,52204.967090,4.089912,-0.395350,0.226011,-0.269514
0.202000,1704.609555,52272.173987,4.090241,-0.392532,0.242468,-0.276917
0.203000,1706.519824,52328.439437,4.090570,-0.389428,0.258635,-0.284154
0.204000,1708.845574,52368.742152,4.090900,-0.386051,0.274490,-0.291204
0.205000,1711.626425,52385.821445,4.091230,-0.382413,0.290009,-0.298050
0.206000,1714.898038,52380.643093,4.091560,-0.378526,0.305173,-0.304672
0.207000,1718.689838,52351.049090,4.091889,-0.374402,0.319960,-0.311052
0.208000,1723.017468,52300.492969,4.092218,-0.370052,0.334351,-0.317176
0.209000,1727.874584,52227.296641,4.092547,-0.365487,0.348328,-0.323028
0.210000,1733.228314,52128.119499,4.092876,-0.360717,0.361876,-0.328596
0.211000,1739.019439,52000.288235,4.093203,-0.355753,0.374980,-0.333870
0.212000,1745.159295,51844.578517,4.093530,-0.350604,0.387625,-0.338842
0.213000,1751.525363,51668.911084,4.093855,-0.345281,0.399802,-0.343506
0.214000,1757.965284,51469.657636,4.094179,-0.339792,0.411501,-0.347860
0.215000,1764.300813,51252.663492,4.094502,-0.334147,0.422715,-0.351904
0.216000,1770.330499,51031.464424,4.094824,-0.328355,0.433438,-0.355641
0.217000,1775.840153,50811.990995,4.095144,-0.322424,0.443668,-0.359077
0.218000,1780.615571,50597.133999,4.095463,-0.316363,0.453402,-0.362221
0.219000,1784.451815,50394.794030,4.095780,-0.310181,0.462641,-0.365085
0.220000,1787.160057,50211.684811,4.096097,-0.303885,0.471387,-0.367683
0.221000,1788.575944,50053.564612,4.096412,-0.297484,0.479644,-0.370032
0.222000,1788.569372,49928.581190,4.096727,-0.290987,0.487418,-0.372151
0.223000,1787.052996,49839.853122,4.097041,-0.284402,0.494715,-0.374061
0.224000,1783.990081,49786.584898,4.097355,-0.277737,0.501543,-0.375786
0.225000,1779.401774,49770.009864,4.097669,-0.271001,0.507912,-0.377349
0.226000,1773.367518,49794.941989,4.097983,-0.264203,0.513831,-0.378775
0.227000,1766.023122,49858.736942,4.098297,-0.257352,0.519312,-0.380090
0.228000,1757.564420,49956.341336,4.098612,-0.250456,0.524368,-0.381320
0.229000,1748.245109,50079.032756,4.098928,-0.243526,0.529011,-0.382492
0.230000,1738.369419,50223.879871,4.099245,-0.236570,0.533255,-0.383630
0.231000,1728.276537,50381.693322,4.099563,-0.229599,0.537114,-0.384761
0.232000,1718.320369,50542.983868,4.099881,-0.222622,0.540604,-0.385909
0.233000,1708.848403,50703.146369,4.100201,-0.215650,0.543739,-0.387096
0.234000,1700.178792,50854.644212,4.100522,-0.208694,0.546537,-0.388346
0.235000,1692.580744,50991.642312,4.100844,-0.201764,0.549013,-0.389679
0.236000,1686.263999,51113.997502,4.101166,-0.194872,0.551184,-0.391114
0.237000,1681.379007,51227.185684,4.101490,-0.188030,0.553067,-0.392667
0.238000,1678.019830,51324.032445,4.101814,-0.181248,0.554680,-0.394355
0.239000,1676.233186,51403.060608,4.102138,-0.174539,0.556041,-0.396191
0.240000,1676.021376,51465.277152,4.102463,-0.167916,0.557167,-0.398185
0.241000,1677.341142,51507.646422,4.102788,-0.161390,0.558077,-0.400347
0.242000,1680.108568,51532.446062,4.103113,-0.154974,0.558787,-0.402683
0.243000,1684.201472,51537.035873,4.103439,-0.148680,0.559318,-0.405200
0.244000,1689.466272,51521.135401,4.103764,-0.142521,0.559685,-0.407899
0.245000,1695.732862,51484.973425,4.104089,-0.136507,0.559906,-0.410782
0.246000,1702.829534,51434.422350,4.104414,-0.130652,0.559998,-0.413847
0.247000,1710.593510,51369.495804,4.104738,-0.124965,0.559976,-0.417092
0.248000,1718.880117,51296.209527,4.105062,-0.119459,0.559855,-0.420512
0.249000,1727.563065,51218.644185,4.105386,-0.114144,0.559649,-0.424101
0.250000,1736.529099,51136.264913,4.105709,-0.109028,0.559371,-0.427851
0.251000,1745.671663,51054.426734,4.106031,-0.104122,0.559031,-0.431754
0.252000,1754.882411,50970.952202,4.106354,-0.099435,0.558640,-0.435799
0.253000,1764.043637,50889.127740,4.106675,-0.094973,0.558204,-0.439974
0.254000,1773.023215,50817.907005,4.106996,-0.090744,0.557730,-0.444269
0.255000,1781.672237,50761.572659,4.107317,-0.086755,0.557221,-0.448671
0.256000,1789.825795,50723.277553,4.107638,-0.083010,0.556680,-0.453166
0.257000,1797.307429,50702.705368,4.107958,-0.079515,0.556106,-0.457740
0.258000,1803.933910,50702.579187,4.108279,-0.076275,0.555497,-0.462380
0.259000,1809.521147,50729.259838,4.108599,-0.073293,0.554847,-0.467071
0.260000,1813.892156,50778.706840,4.108920,-0.070573,0.554151,-0.471799
0.261000,1816.885319,50853.076362,4.109242,-0.068117,0.553399,-0.476549
0.262000,1818.367328,50960.192718,4.109564,-0.065928,0.552581,-0.481307
0.263000,1818.243126,51103.642056,4.109887,-0.064009,0.551684,-0.486058
0.264000,1816.459843,51279.345949,4.110211,-0.062362,0.550693,-0.490788
0.265000,1813.013667,51488.107371,4.110537,-0.060991,0.549592,-0.495484
0.266000,1807.956488,51724.305641,4.110864,-0.059898,0.548365,-0.500130
0.267000,1801.396973,51984.183032,4.111193,-0.059087,0.546992,-0.504715
0.268000,1793.498389,52258.774983,4.111524,-0.058561,0.545454,-0.509224
0.269000,1784.480067,52548.030740,4.111856,-0.058326,0.543732,-0.513644
0.270000,1774.613166,52844.095017,4.112190,-0.058386,0.541803,-0.517964
0.271000,1764.212583,53136.292475,4.112527,-0.058747,0.539646,-0.522170
0.272000,1753.630642,53411.518549,4.112865,-0.059415,0.537238,-0.526252
0.273000,1743.246526,53656.682281,4.113204,-0.060399,0.534559,-0.530198
0.274000,1733.455167,53860.408619,4.113545,-0.061707,0.531586,-0.533996
0.275000,1724.651702,54013.789969,4.113887,-0.063345,0.528296,-0.537637
0.276000,1717.213263,54101.042075,4.114229,-0.065324,0.524668,-0.541110
0.277000,1711.483948,54113.113600,4.114572,-0.067653,0.520682,-0.544405
0.278000,1707.756380,54049.697718,4.114914,-0.070339,0.516317,-0.547514
0.279000,1706.250429,53905.693730,4.115256,-0.073392,0.511554,-0.550428
0.280000,1707.099973,53677.454141,4.115595,-0.076819,0.506375,-0.553138
0.281000,1710.344611,53366.215604,4.115933,-0.080626,0.500762,-0.555637
0.282000,1715.920981,52975.313812,4.116269,-0.084819,0.494702,-0.557919
0.283000,1723.663794,52513.984485,4.116602,-0.089399,0.488180,-0.559977
0.284000,1733.315279,51988.084587,4.116931,-0.094370,0.481185,-0.561806
0.285000,1744.538247,51410.659445,4.117257,-0.099728,0.473707,-0.563402
0.286000,1756.933938,50795.174237,4.117578,-0.105470,0.465738,-0.564761
0.287000,1770.065549,50158.722168,4.117896,-0.111589,0.457273,-0.565881
0.288000,1783.480213,49512.458113,4.118210,-0.118074,0.448308,-0.566760
0.289000,1796.726484,48874.794578,4.118520,-0.124913,0.438844,-0.567399
0.290000,1809.376661,48262.977579,4.118825,-0.132089,0.428882,-0.567797
0.291000,1821.049694,47692.888929,4.119128,-0.139583,0.418425,-0.567956
0.292000,1831.422253,47172.684825,4.119427,-0.147372,0.407482,-0.567881
0.293000,1840.236101,46710.142667,4.119723,-0.155432,0.396060,-0.567574
0.294000,1847.308091,46313.253472,4.120016,-0.163735,0.384172,-0.567041
0.295000,1852.534106,45988.199707,4.120308,-0.172250,0.371832,-0.566287
0.296000,1855.887997,45729.635575,4.120598,-0.180947,0.359057,-0.565321
0.297000,1857.415898,45535.851435,4.120887,-0.189791,0.345867,-0.564148
0.298000,1857.229026,45401.331588,4.121174,-0.198747,0.332285,-0.562780
0.299000,1855.494714,45325.979600,4.121462,-0.207779,0.318335,-0.561223
0.300000,1852.424106,45299.034908,4.121749,-0.216850,0.304044,-0.559490
0.301000,1848.261691,45313.837292,4.122037,-0.225922,0.289442,-0.557590
0.302000,1843.276402,45356.995270,4.122324,-0.234955,0.274561,-0.555535
0.303000,1837.754243,45430.243265,4.122612,-0.243913,0.259436,-0.553337
0.304000,1831.987840,45527.209988,4.122901,-0.252755,0.244102,-0.551007
0.305000,1826.267165,45637.425925,4.123191,-0.261442,0.228598,-0.548558
0.306000,1820.871848,45750.560832,4.123481,-0.269936,0.212964,-0.546002
0.307000,1816.066177,45858.215703,4.123772,-0.278197,0.197242,-0.543352
0.308000,1812.093078,45949.993980,4.124064,-0.286186,0.181474,-0.540620
0.309000,1809.162869,46017.787565,4.124356,-0.293863,0.165704,-0.537819
0.310000,1807.443384,46053.748436,4.124648,-0.301191,0.149977,-0.534961
0.311000,1807.052689,46051.829463,4.124940,-0.308128,0.134339,-0.532057
0.312000,1808.053635,46005.434917,4.125232,-0.314638,0.118834,-0.529119
0.313000,1810.450447,45917.451005,4.125524,-0.320682,0.103508,-0.526158
0.314000,1814.190504,45789.963623,4.125814,-0.326222,0.088405,-0.523184
0.315000,1819.168559,45621.951584,4.126104,-0.331223,0.073568,-0.520207
0.316000,1825.234364,45423.160447,4.126392,-0.335649,0.059038,-0.517234
0.317000,1832.198683,45202.381271,4.126679,-0.339467,0.044855,-0.514275
0.318000,1839.845007,44968.432552,4.126965,-0.342647,0.031053,-0.511335
0.319000,1847.946947,44726.650170,4.127249,-0.345161,0.017667,-0.508420
0.320000,1856.284050,44486.262681,4.127531,-0.346983,0.004725,-0.505534
0.321000,1864.656287,44253.316647,4.127813,-0.348093,-0.007747,-0.502680
0.322000,1872.898727,44034.822045,4.128092,-0.348472,-0.019729,-0.499859
0.323000,1880.890636,43831.989892,4.128371,-0.348108,-0.031203,-0.497074
0.324000,1888.552055,43641.028832,4.128648,-0.346990,-0.042157,-0.494321
0.325000,1895.835246,43458.553520,4.128924,-0.345115,-0.052584,-0.491600
0.326000,1902.713076,43282.524255,4.129199,-0.342482,-0.062479,-0.488908
0.327000,1909.160032,43110.640094,4.129473,-0.339097,-0.071844,-0.486241
0.328000,1915.132851,42945.457761,4.129746,-0.334966,-0.080682,-0.483593
0.329000,1920.558332,42791.708623,4.130018,-0.330103,-0.089002,-0.480959
0.330000,1925.332178,42657.218376,4.130289,-0.324523,-0.096815,-0.478333
0.331000,1929.325156,42545.688149,4.130559,-0.318247,-0.104133,-0.475707
0.332000,1932.390634,42464.823053,4.130829,-0.311295,-0.110973,-0.473075
0.333000,1934.379275,42419.747309,4.131099,-0.303693,-0.117351,-0.470430
0.334000,1935.154833,42411.680388,4.131368,-0.295465,-0.123286,-0.467763
0.335000,1934.605980,42436.179999,4.131638,-0.286639,-0.128797,-0.465067
0.336000,1932.660360,42490.025936,4.131908,-0.277241,-0.133904,-0.462335
0.337000,1929.300342,42571.071813,4.132179,-0.267301,-0.138627,-0.459561
0.338000,1924.574789,42673.431537,4.132450,-0.256844,-0.142984,-0.456736
0.339000,1918.603274,42796.880893,4.132722,-0.245898,-0.146996,-0.453856
0.340000,1911.573745,42937.713074,4.132995,-0.234490,-0.150680,-0.450915
0.341000,1903.734503,43089.690084,4.133269,-0.222644,-0.154056,-0.447906
0.342000,1895.386626,43263.962342,4.133545,-0.210385,-0.157140,-0.444827
0.343000,1886.861575,43464.310180,4.133821,-0.197736,-0.159950,-0.441674
0.344000,1878.489924,43688.940512,4.134099,-0.184719,-0.162503,-0.438442
0.345000,1870.577665,43927.260464,4.134378,-0.171353,-0.164813,-0.435131
0.346000,1863.385315,44176.974314,4.134659,-0.157659,-0.166896,-0.431738
0.347000,1857.114786,44425.367937,4.134942,-0.143654,-0.168767,-0.428263
0.348000,1851.903159,44666.349988,4.135226,-0.129354,-0.170439,-0.424704
0.349000,1847.822244,44896.437761,4.135512,-0.114774,-0.171925,-0.421064
0.350000,1844.881639,45107.670719,4.135799,-0.099930,-0.173238,-0.417342
0.351000,1843.043800,45295.342447,4.136087,-0.084834,-0.174391,-0.413541
0.352000,1842.242743,45449.574523,4.136377,-0.069497,-0.175394,-0.409662
0.353000,1842.399968,45562.837947,4.136667,-0.053932,-0.176260,-0.405708
0.354000,1843.443075,45632.417419,4.136957,-0.038149,-0.176998,-0.401682
0.355000,1845.316530,45659.654778,4.137248,-0.022157,-0.177621,-0.397586
0.356000,1847.981664,45645.816014,4.137538,-0.005967,-0.178138,-0.393424
