time,temperature,pressure,lattice,pos1,pos2
0.211000,681.995099,19659.149951,4.064064,-0.143223,0.079339,0.039169
0.212000,682.399433,19615.888999,4.064181,-0.148861,0.082412,0.037574
0.213000,683.540894,19546.429430,4.064297,-0.154495,0.085548,0.035957
0.214000,685.411357,19446.752404,4.064412,-0.160118,0.088741,0.034322
0.215000,687.991222,19323.076675,4.064527,-0.165722,0.091989,0.032672
0.216000,691.248661,19176.096533,4.064641,-0.171297,0.095286,0.031012
0.217000,695.140001,19007.467711,4.064754,-0.176833,0.098629,0.029349
0.218000,699.609612,18816.173406,4.064866,-0.182317,0.102011,0.027688
0.219000,704.590182,18605.256088,4.064976,-0.187737,0.105427,0.026040
0.220000,710.004429,18376.779395,4.065086,-0.193076,0.108871,0.024413
0.221000,715.765843,18133.901303,4.065193,-0.198320,0.112337,0.022818
0.222000,721.781047,17877.661348,4.065300,-0.203451,0.115819,0.021267
0.223000,727.952377,17613.524563,4.065404,-0.208449,0.119308,0.019774
0.224000,734.179357,17342.536665,4.065507,-0.213295,0.122798,0.018352
0.225000,740.362203,17070.490993,4.065609,-0.217969,0.126280,0.017017
0.226000,746.405125,16799.411256,4.065709,-0.222447,0.129748,0.015784
0.227000,752.218144,16529.990181,4.065807,-0.226708,0.133192,0.014670
0.228000,757.719070,16264.981674,4.065904,-0.230727,0.136604,0.013692
0.229000,762.834779,16007.159719,4.065999,-0.234482,0.139976,0.012866
0.230000,767.503298,15758.823735,4.066092,-0.237949,0.143300,0.012209
0.231000,771.676344,15522.235241,4.066185,-0.241103,0.146565,0.011739
0.232000,775.319699,15295.750042,4.066276,-0.243921,0.149765,0.011470
0.233000,778.412353,15082.980642,4.066365,-0.246380,0.152888,0.011419
0.234000,780.946825,14885.515795,4.066454,-0.248459,0.155928,0.011600
0.235000,782.928404,14702.033578,4.066541,-0.250136,0.158874,0.012024
0.236000,784.373143,14529.587822,4.066628,-0.251393,0.161719,0.012702
0.237000,785.307244,14368.936152,4.066713,-0.252212,0.164453,0.013642
0.238000,785.766721,14219.946982,4.066797,-0.252577,0.167067,0.014851
0.239000,785.795226,14083.890648,4.066881,-0.252476,0.169553,0.016333
0.240000,785.442658,13956.496307,4.066964,-0.251897,0.171903,0.018086
0.241000,784.763920,13837.212238,4.067046,-0.250833,0.174108,0.020110
0.242000,783.816540,13727.939676,4.067128,-0.249279,0.176160,0.022399
