time,q1,q2,q3,Ekin,Epot,Etot
0.032400,0.020527,0.063229,0.030762,0.311886,0.143680,0.455566
0.032500,0.019004,0.063876,0.031800,0.303655,0.151916,0.455570
0.032600,0.017507,0.064462,0.032857,0.295610,0.159964,0.455574
0.032700,0.016039,0.064984,0.033933,0.287811,0.167767,0.455578
0.032800,0.014600,0.065443,0.035027,0.280314,0.175267,0.455581
0.032900,0.013192,0.065836,0.036140,0.273168,0.182415,0.455584
0.033000,0.011815,0.066163,0.037271,0.266420,0.189166,0.455586
0.033100,0.010471,0.066424,0.038420,0.260110,0.195478,0.455588
0.033200,0.009161,0.066617,0.039585,0.254271,0.201319,0.455590
0.033300,0.007886,0.066742,0.040766,0.248933,0.206658,0.455591
0.033400,0.006646,0.066799,0.041963,0.244118,0.211474,0.455592
0.033500,0.005442,0.066788,0.043175,0.239841,0.215752,0.455593
0.033600,0.004275,0.066709,0.044402,0.236112,0.219481,0.455593
0.033700,0.003146,0.066562,0.045641,0.232934,0.222659,0.455593
0.033800,0.002055,0.066347,0.046894,0.230303,0.225289,0.455592
0.033900,0.001002,0.066065,0.048158,0.228211,0.227381,0.455591
0.034000,-0.000011,0.065716,0.049433,0.226641,0.228949,0.455590
0.034100,-0.000984,0.065302,0.050717,0.225572,0.230016,0.455588
0.034200,-0.001918,0.064823,0.052011,0.224977,0.230609,0.455586
0.034300,-0.002811,0.064280,0.053312,0.224823,0.230761,0.455584
0.034400,-0.003664,0.063674,0.054620,0.225073,0.230508,0.455581
0.034500,-0.004477,0.063007,0.055933,0.225686,0.229893,0.455579
0.034600,-0.005249,0.062280,0.057250,0.226615,0.228961,0.455575
0.034700,-0.005980,0.061495,0.058571,0.227811,0.227761,0.455572
0.034800,-0.006671,0.060654,0.059893,0.229222,0.226347,0.455569
0.034900,-0.007321,0.059757,0.061216,0.230793,0.224772,0.455565
0.035000,-0.007930,0.058809,0.062538,0.232468,0.223094,0.455562
0.035100,-0.008499,0.057809,0.063857,0.234189,0.221369,0.455558
0.035200,-0.009029,0.056761,0.065173,0.235897,0.219657,0.455554
0.035300,-0.009519,0.055668,0.066484,0.237534,0.218016,0.455551
0.035400,-0.009969,0.054530,0.067788,0.239043,0.216504,0.455547
0.035500,-0.010381,0.053352,0.069085,0.240366,0.215177,0.455544
0.035600,-0.010754,0.052135,0.070372,0.241450,0.214090,0.455540
0.035700,-0.011090,0.050882,0.071647,0.242242,0.213296,0.455537
0.035800,-0.011388,0.049596,0.072911,0.242692,0.212842,0.455534
0.035900,-0.011649,0.048280,0.074160,0.242755,0.212777,0.455532
0.036000,-0.011875,0.046937,0.075394,0.242390,0.213140,0.455530
0.036100,-0.012065,0.045569,0.076611,0.241558,0.213969,0.455528
0.036200,-0.012220,0.044180,0.077809,0.240228,0.215297,0.455526
0.036300,-0.012341,0.042772,0.078986,0.238373,0.217151,0.455525
0.036400,-0.012429,0.041350,0.080142,0.235972,0.219552,0.455524
0.036500,-0.012485,0.039915,0.081275,0.233008,0.222515,0.455523
0.036600,-0.012509,0.038472,0.082382,0.229473,0.226050,0.455523
0.036700,-0.012502,0.037023,0.083463,0.225364,0.230159,0.455523
0.036800,-0.012466,0.035571,0.084517,0.220684,0.234840,0.455524
0.036900,-0.012400,0.034120,0.085540,0.215442,0.240082,0.455525
0.037000,-0.012307,0.032673,0.086533,0.209657,0.245870,0.455526
0.037100,-0.012186,0.031234,0.087493,0.203349,0.252179,0.455528
0.037200,-0.012040,0.029804,0.088420,0.196548,0.258982,0.455530
0.037300,-0.011868,0.028388,0.089311,0.189289,0.266244,0.455533
0.037400,-0.011672,0.026989,0.090165,0.181613,0.273923,0.455536
0.037500,-0.011452,0.025609,0.090982,0.173566,0.281973,0.455539
0.037600,-0.011211,0.024252,0.091759,0.165199,0.290343,0.455542
0.037700,-0.010948,0.022921,0.092495,0.156570,0.298976,0.455546
