q1,q2,q3,frequencies
0.000000,0.000000,0.000000,-48200.000000
0.000000,0.000000,0.000000,-48191.666667
0.000000,0.000000,0.000000,-48183.333333
0.000000,0.000000,0.000000,-48175.000000
0.000000,0.000000,0.000000,-48166.666667
0.000000,0.000000,0.000000,-48158.333333
0.000000,0.000000,0.000000,-48150.000000
0.000000,0.000000,0.000000,-48141.666667
0.000000,0.000000,0.000000,-48133.333333
0.000000,0.000000,0.000000,-48125.000000
0.000000,0.000000,0.000000,-48116.666667
0.000000,0.000000,0.000000,-48108.333333
0.000000,0.000000,0.000000,-48100.000000
0.000000,0.000000,0.000000,-48091.666667
0.000000,0.000000,0.000000,-48083.333333
0.000000,0.000000,0.000000,-48075.000000
0.000000,0.000000,0.000000,-48066.666667
0.000000,0.000000,0.000000,-48058.333333
0.000000,0.000000,0.000000,-48050.000000
0.000000,0.000000,0.000000,-48041.666667
0.000000,0.000000,0.000000,-48033.333333
0.000000,0.000000,0.000000,-48025.000000
0.000000,0.000000,0.000000,-48016.666667
0.000000,0.000000,0.000000,-48008.333333
0.000000,0.000000,0.000000,-48000.000000
0.000000,0.000000,0.000000,-47991.666667
0.000000,0.000000,0.000000,-47983.333333
